644, 937198, 1, 0, 0
1144, 941144, 1, 0, 0
1645, 939072, 1, 0, 0
2146, 937952, 1, 0, 0
2646, 935624, 1, 0, 0
3147, 938144, 1, 0, 0
3648, 939392, 1, 0, 0
4148, 938632, 1, 0, 0
4649, 939720, 1, 0, 0
5150, 940680, 1, 0, 0
5650, 939072, 1, 0, 0
6151, 937584, 1, 0, 0
6652, 940080, 1, 0, 0
7152, 938152, 1, 0, 0
7653, 934904, 1, 0, 0
8154, 938616, 1, 0, 0
8654, 938920, 1, 0, 0
9155, 938848, 1, 0, 0
9656, 939216, 1, 0, 0
10156, 938624, 1, 0, 0
10657, 942040, 1, 0, 0
11158, 938512, 1, 0, 0
11658, 937648, 1, 0, 0
12159, 938944, 1, 0, 0
12660, 937632, 1, 0, 0
13160, 939056, 1, 0, 0
13661, 938320, 1, 0, 0
14162, 939456, 1, 0, 0
14662, 939968, 1, 0, 0
15163, 939544, 1, 0, 0
15664, 941000, 1, 0, 0
16164, 939024, 1, 0, 0
16665, 940328, 1, 0, 0
17166, 935928, 1, 0, 0
17666, 934272, 1, 0, 0
18167, 936872, 1, 0, 0
18667, 938160, 1, 0, 0
19168, 937504, 1, 0, 0
19669, 938312, 1, 0, 0
20169, 939520, 1, 0, 0
20670, 940624, 1, 0, 0
21171, 937888, 1, 0, 0
21671, 938800, 1, 0, 0
22172, 942520, 1, 0, 0
22673, 935160, 1, 0, 0
23173, 940784, 1, 0, 0
23674, 939816, 1, 0, 0
24175, 936840, 1, 0, 0
24675, 938216, 1, 0, 0
25176, 938392, 1, 0, 0
25677, 938624, 1, 0, 0
26177, 932984, 1, 0, 0
26678, 939160, 1, 0, 0
27179, 937584, 1, 0, 0
27679, 934832, 1, 0, 0
28180, 937808, 1, 0, 0
28681, 938632, 1, 0, 0
29181, 938064, 1, 0, 0
29682, 938560, 1, 0, 0
30183, 936408, 1, 0, 0
30683, 940816, 1, 0, 0
31184, 938056, 1, 0, 0
31685, 938632, 1, 0, 0
32185, 938976, 1, 0, 0
32686, 937168, 1, 0, 0
33187, 940536, 1, 0, 0
33687, 939408, 1, 0, 0
34188, 939144, 1, 0, 0
34688, 938584, 1, 0, 0
35189, 936936, 1, 0, 0
35690, 941520, 1, 0, 0
